,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20230505_0_9338.91_final_mergedlength.json,0,0.0,62.25,00:00,01:02,4,0.09,0.1,0.0,0.37,1962,100.0,0,0.0,0,0.0,0,0.0
1,LMI_20230505_0_9338.91_final_mergedlength.json,1,62.25,124.5,01:02,02:04,18,0.21,0.13,0.06,0.43,1992,100.0,0,0.0,0,0.0,0,0.0
2,LMI_20230505_0_9338.91_final_mergedlength.json,2,124.5,186.75,02:04,03:06,56,0.81,0.38,0.24,1.29,1196,60.04,796,39.96,0,0.0,0,0.0
3,LMI_20230505_0_9338.91_final_mergedlength.json,3,186.75,249.0,03:06,04:09,48,0.93,0.23,0.62,1.39,1240,62.25,752,37.75,0,0.0,0,0.0
4,LMI_20230505_0_9338.91_final_mergedlength.json,4,249.0,311.25,04:09,05:11,57,0.9,0.38,0.4,1.4,1110,55.72,882,44.28,0,0.0,0,0.0
5,LMI_20230505_0_9338.91_final_mergedlength.json,5,311.25,373.5,05:11,06:13,51,0.83,0.12,0.55,1.02,1722,86.45,270,13.55,0,0.0,0,0.0
6,LMI_20230505_0_9338.91_final_mergedlength.json,6,373.5,435.75,06:13,07:15,49,0.76,0.1,0.62,0.91,1992,100.0,0,0.0,0,0.0,0,0.0
7,LMI_20230505_0_9338.91_final_mergedlength.json,7,435.75,498.0,07:15,08:18,45,0.66,0.13,0.46,0.9,1992,100.0,0,0.0,0,0.0,0,0.0
8,LMI_20230505_0_9338.91_final_mergedlength.json,8,498.0,560.25,08:18,09:20,19,0.32,0.19,0.05,0.69,1992,100.0,0,0.0,0,0.0,0,0.0
9,LMI_20230505_0_9338.91_final_mergedlength.json,9,560.25,622.5,09:20,10:22,22,0.42,0.18,0.18,0.68,1992,100.0,0,0.0,0,0.0,0,0.0
10,LMI_20230505_0_9338.91_final_mergedlength.json,10,622.5,684.75,10:22,11:24,40,0.59,0.11,0.29,0.74,1992,100.0,0,0.0,0,0.0,0,0.0
11,LMI_20230505_0_9338.91_final_mergedlength.json,11,684.75,747.0,11:24,12:27,52,0.85,0.53,0.18,1.51,1108,55.62,884,44.38,0,0.0,0,0.0
12,LMI_20230505_0_9338.91_final_mergedlength.json,12,747.0,809.25,12:27,13:29,110,1.7,0.32,1.3,2.15,0,0.0,1392,69.88,600,30.12,0,0.0
13,LMI_20230505_0_9338.91_final_mergedlength.json,13,809.25,871.5,13:29,14:31,67,1.21,0.46,0.63,2.12,820,41.16,1094,54.92,78,3.92,0,0.0
14,LMI_20230505_0_9338.91_final_mergedlength.json,14,871.5,933.75,14:31,15:33,150,2.31,0.06,2.12,2.4,0,0.0,0,0.0,1992,100.0,0,0.0
15,LMI_20230505_0_9338.91_final_mergedlength.json,15,933.75,996.0,15:33,16:36,112,1.9,0.12,1.73,2.25,0,0.0,1752,87.95,240,12.05,0,0.0
16,LMI_20230505_0_9338.91_final_mergedlength.json,16,996.0,1058.25,16:36,17:38,119,1.88,0.18,1.64,2.17,0,0.0,1398,70.18,594,29.82,0,0.0
17,LMI_20230505_0_9338.91_final_mergedlength.json,17,1058.25,1120.5,17:38,18:40,128,2.06,0.18,1.6,2.22,0,0.0,586,29.42,1406,70.58,0,0.0
18,LMI_20230505_0_9338.91_final_mergedlength.json,18,1120.5,1182.75,18:40,19:42,115,1.89,0.18,1.58,2.07,0,0.0,1024,51.41,968,48.59,0,0.0
19,LMI_20230505_0_9338.91_final_mergedlength.json,19,1182.75,1245.0,19:42,20:45,111,1.8,0.24,1.33,2.06,0,0.0,1310,65.76,682,34.24,0,0.0
