,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20220826_1_0.0_8753.398625_mergedlength.json,0,0.0,58.34,00:00,00:58,4,0.98,0.4,0.12,1.75,56,29.17,136,70.83,0,0.0,0,0.0
1,LMI_20220826_1_0.0_8753.398625_mergedlength.json,1,58.34,116.69,00:58,01:56,18,2.43,1.09,0.12,4.38,44,13.92,32,10.13,124,39.24,116,36.71
2,LMI_20220826_1_0.0_8753.398625_mergedlength.json,2,116.69,175.03,01:56,02:55,26,1.04,0.69,0.12,3.38,561,50.4,416,37.38,120,10.78,16,1.44
3,LMI_20220826_1_0.0_8753.398625_mergedlength.json,3,175.03,233.38,02:55,03:53,60,1.7,0.98,0.12,4.38,403,25.85,580,37.2,388,24.89,188,12.06
4,LMI_20220826_1_0.0_8753.398625_mergedlength.json,4,233.38,291.72,03:53,04:51,57,1.48,0.65,0.12,3.25,420,22.89,979,53.35,412,22.45,24,1.31
5,LMI_20220826_1_0.0_8753.398625_mergedlength.json,5,291.72,350.06,04:51,05:50,47,1.43,0.83,0.12,3.75,488,30.48,669,41.79,388,24.23,56,3.5
6,LMI_20220826_1_0.0_8753.398625_mergedlength.json,6,350.06,408.41,05:50,06:48,59,1.61,0.77,0.12,4.0,304,17.15,928,52.34,425,23.97,116,6.54
7,LMI_20220826_1_0.0_8753.398625_mergedlength.json,7,408.41,466.75,06:48,07:46,80,2.02,0.73,0.12,5.0,48,2.62,864,47.08,783,42.67,140,7.63
8,LMI_20220826_1_0.0_8753.398625_mergedlength.json,8,466.75,525.09,07:46,08:45,44,1.57,1.05,0.12,4.88,388,32.58,408,34.26,275,23.09,120,10.08
9,LMI_20220826_1_0.0_8753.398625_mergedlength.json,9,525.09,583.44,08:45,09:43,43,1.35,1.06,0.12,4.62,568,41.31,474,34.47,201,14.62,132,9.6
10,LMI_20220826_1_0.0_8753.398625_mergedlength.json,10,583.44,641.78,09:43,10:41,40,1.66,1.31,0.12,6.0,352,35.27,342,34.27,124,12.42,156,15.63
11,LMI_20220826_1_0.0_8753.398625_mergedlength.json,11,641.78,700.12,10:41,11:40,27,1.4,0.97,0.12,3.62,344,40.76,260,30.81,156,18.48,84,9.95
12,LMI_20220826_1_0.0_8753.398625_mergedlength.json,12,700.12,758.47,11:40,12:38,43,2.19,1.65,0.12,7.12,180,22.76,260,32.87,179,22.63,108,13.65
13,LMI_20220826_1_0.0_8753.398625_mergedlength.json,13,758.47,816.81,12:38,13:36,146,3.29,1.55,0.12,7.12,148,8.77,184,10.91,305,18.08,824,48.84
14,LMI_20220826_1_0.0_8753.398625_mergedlength.json,14,816.81,875.16,13:36,14:35,124,2.83,1.4,0.12,6.25,200,11.14,308,17.16,448,24.96,781,43.51
15,LMI_20220826_1_0.0_8753.398625_mergedlength.json,15,875.16,933.5,14:35,15:33,183,3.85,1.06,2.0,6.88,0,0.0,0,0.0,440,23.57,1143,61.22
16,LMI_20220826_1_0.0_8753.398625_mergedlength.json,16,933.5,991.84,15:33,16:31,130,2.85,1.29,0.12,6.62,116,6.27,304,16.42,624,33.71,695,37.55
17,LMI_20220826_1_0.0_8753.398625_mergedlength.json,17,991.84,1050.19,16:31,17:30,132,2.9,1.25,0.12,6.25,92,4.95,304,16.35,604,32.49,751,40.4
18,LMI_20220826_1_0.0_8753.398625_mergedlength.json,18,1050.19,1108.53,17:30,18:28,186,3.88,1.19,0.88,6.75,8,0.43,64,3.43,372,19.93,1107,59.29
19,LMI_20220826_1_0.0_8753.398625_mergedlength.json,19,1108.53,1166.88,18:28,19:26,138,3.02,1.04,0.5,6.5,32,1.71,264,14.14,576,30.85,943,50.51
20,LMI_20220826_1_0.0_8753.398625_mergedlength.json,20,1166.88,1225.22,19:26,20:25,140,3.14,1.33,0.12,6.62,80,4.51,267,15.04,448,25.24,868,48.9
21,LMI_20220826_1_0.0_8753.398625_mergedlength.json,21,1225.22,1283.56,20:25,21:23,170,3.66,1.81,0.12,7.25,200,11.42,137,7.82,240,13.71,690,39.41
22,LMI_20220826_1_0.0_8753.398625_mergedlength.json,22,1283.56,1341.91,21:23,22:21,174,3.59,1.51,0.75,8.5,48,2.57,180,9.64,404,21.64,927,49.65
23,LMI_20220826_1_0.0_8753.398625_mergedlength.json,23,1341.91,1400.25,22:21,23:20,97,2.83,1.24,0.12,6.12,104,7.63,252,18.49,324,23.77,647,47.47
24,LMI_20220826_1_0.0_8753.398625_mergedlength.json,24,1400.25,1458.59,23:20,24:18,61,2.93,1.54,0.12,6.0,60,7.15,220,26.22,188,22.41,251,29.92
25,LMI_20220826_1_0.0_8753.398625_mergedlength.json,25,1458.59,1516.94,24:18,25:16,82,1.93,1.12,0.12,4.88,396,22.64,548,31.33,452,25.84,353,20.18
26,LMI_20220826_1_0.0_8753.398625_mergedlength.json,26,1516.94,1575.28,25:16,26:15,108,2.65,1.43,0.12,5.88,224,13.86,388,24.01,272,16.83,640,39.6
27,LMI_20220826_1_0.0_8753.398625_mergedlength.json,27,1575.28,1633.62,26:15,27:13,130,3.0,2.01,0.12,7.0,316,18.9,356,21.29,260,15.55,376,22.49
28,LMI_20220826_1_0.0_8753.398625_mergedlength.json,28,1633.62,1691.97,27:13,28:11,65,2.84,1.5,0.12,6.62,112,11.98,143,15.29,248,26.52,348,37.22
29,LMI_20220826_1_0.0_8753.398625_mergedlength.json,29,1691.97,1750.31,28:11,29:10,116,2.84,1.6,0.12,6.62,196,12.05,369,22.68,304,18.68,582,35.77
30,LMI_20220826_1_0.0_8753.398625_mergedlength.json,30,1750.31,1808.66,29:10,30:08,150,3.17,1.36,0.38,6.62,108,5.78,248,13.28,432,23.14,903,48.37
31,LMI_20220826_1_0.0_8753.398625_mergedlength.json,31,1808.66,1867.0,30:08,31:07,165,3.54,1.26,0.12,6.0,56,3.05,176,9.57,320,17.4,1063,57.8
32,LMI_20220826_1_0.0_8753.398625_mergedlength.json,32,1867.0,1925.34,31:07,32:05,159,3.36,1.27,0.12,6.0,88,4.72,196,10.52,324,17.39,1131,60.71
33,LMI_20220826_1_0.0_8753.398625_mergedlength.json,33,1925.34,1983.69,32:05,33:03,153,3.19,1.46,0.5,6.38,156,8.36,288,15.43,344,18.43,879,47.08
34,LMI_20220826_1_0.0_8753.398625_mergedlength.json,34,1983.69,2042.03,33:03,34:02,99,2.93,1.48,0.12,6.25,136,10.22,240,18.03,268,20.14,591,44.4
35,LMI_20220826_1_0.0_8753.398625_mergedlength.json,35,2042.03,2100.38,34:02,35:00,11,1.38,0.82,0.12,3.0,116,36.36,124,38.87,76,23.82,3,0.94
36,LMI_20220826_1_0.0_8753.398625_mergedlength.json,36,2100.38,2158.72,35:00,35:58,57,2.49,1.25,0.12,4.88,96,10.36,272,29.34,235,25.35,324,34.95
