nom_fichier,nombre_mots
LMI_20230505_5_0.0_833.833_mergedlength.json,831
LMI_20230505_6_0.0_833.833_mergedlength.json,1122
LMI_20230505_7_0.0_833.833_mergedlength.json,1190
LMI_20230505_8_0.0_833.833_mergedlength.json,423
LMI_20230505_9_0.0_71.071_mergedlength.json,56
LMI_20230509_10_0.0_833.833_mergedlength.json,1153
LMI_20230509_11_0.0_833.833_mergedlength.json,864
LMI_20230509_12_0.0_833.833_mergedlength.json,989
LMI_20230509_13_0.0_261.261_mergedlength.json,228
LMI_20230509_1_0.0_833.833_mergedlength.json,517
LMI_20230509_2_0.0_833.833_mergedlength.json,1145
LMI_20230509_3_0.0_833.833_mergedlength.json,1224
LMI_20230509_4_0.0_833.833_mergedlength.json,1243
LMI_20230509_5_0.0_833.833_mergedlength.json,815
LMI_20230509_6_0.0_833.833_mergedlength.json,992
LMI_20230509_7_0.0_833.833_mergedlength.json,1287
LMI_20230509_8_0.0_833.833_mergedlength.json,422
LMI_20230509_9_0.0_72.072_mergedlength.json,58
LMI_20230510_10_0.0_833.833_mergedlength.json,1024
LMI_20230510_11_0.0_833.833_mergedlength.json,946
LMI_20230510_12_0.0_833.833_mergedlength.json,804
LMI_20230510_13_0.0_380.38_mergedlength.json,409
LMI_20230510_1_0.0_833.833_mergedlength.json,551
LMI_20230510_2_0.0_833.833_mergedlength.json,1237
LMI_20230510_3_0.0_833.833_mergedlength.json,1286
LMI_20230510_4_0.0_833.833_mergedlength.json,1199
LMI_20230510_5_0.0_833.833_mergedlength.json,736
LMI_20230510_6_0.0_833.833_mergedlength.json,980
LMI_20230510_7_0.0_833.833_mergedlength.json,1252
LMI_20230510_8_0.0_833.833_mergedlength.json,448
LMI_20230510_9_0.0_71.071_mergedlength.json,31
LMI_20230511_10_0.0_833.833_mergedlength.json,1068
LMI_20230511_11_0.0_833.833_mergedlength.json,866
LMI_20230511_12_0.0_833.833_mergedlength.json,871
LMI_20230511_13_0.0_334.334_mergedlength.json,349
LMI_20230511_1_0.0_833.833_mergedlength.json,484
LMI_20230511_2_0.0_833.833_mergedlength.json,1257
LMI_20230511_3_0.0_833.833_mergedlength.json,1268
LMI_20230511_4_0.0_833.833_mergedlength.json,1157
