,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20230427_0_9774.48_final_mergedlength.json,0,0.0,65.16,00:00,01:05,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,LMI_20230427_0_9774.48_final_mergedlength.json,1,65.16,130.31,01:05,02:10,2,0.28,0.19,0.01,0.54,274,100.0,0,0.0,0,0.0,0,0.0
2,LMI_20230427_0_9774.48_final_mergedlength.json,2,130.31,195.47,02:10,03:15,8,0.69,0.37,0.01,1.32,342,78.8,92,21.2,0,0.0,0,0.0
3,LMI_20230427_0_9774.48_final_mergedlength.json,3,195.47,260.62,03:15,04:20,25,0.58,0.43,0.01,1.6,1324,84.65,240,15.35,0,0.0,0,0.0
4,LMI_20230427_0_9774.48_final_mergedlength.json,4,260.62,325.78,04:20,05:25,39,0.68,0.44,0.01,2.12,1720,84.6,257,12.64,56,2.75,0,0.0
5,LMI_20230427_0_9774.48_final_mergedlength.json,5,325.78,390.94,05:25,06:30,56,1.05,0.53,0.01,2.56,818,43.21,1011,53.41,64,3.38,0,0.0
6,LMI_20230427_0_9774.48_final_mergedlength.json,6,390.94,456.09,06:30,07:36,34,0.77,0.59,0.01,2.74,1285,80.67,204,12.81,104,6.53,0,0.0
7,LMI_20230427_0_9774.48_final_mergedlength.json,7,456.09,521.25,07:36,08:41,48,0.93,0.36,0.01,1.53,945,51.22,900,48.78,0,0.0,0,0.0
8,LMI_20230427_0_9774.48_final_mergedlength.json,8,521.25,586.41,08:41,09:46,49,0.89,0.54,0.01,1.92,1024,52.11,941,47.89,0,0.0,0,0.0
9,LMI_20230427_0_9774.48_final_mergedlength.json,9,586.41,651.56,09:46,10:51,12,0.38,0.28,0.01,1.19,1012,93.79,67,6.21,0,0.0,0,0.0
10,LMI_20230427_0_9774.48_final_mergedlength.json,10,651.56,716.72,10:51,11:56,1,0.18,0.1,0.01,0.33,196,100.0,0,0.0,0,0.0,0,0.0
11,LMI_20230427_0_9774.48_final_mergedlength.json,11,716.72,781.88,11:56,13:01,7,0.55,0.53,0.01,1.67,340,75.89,108,24.11,0,0.0,0,0.0
12,LMI_20230427_0_9774.48_final_mergedlength.json,12,781.88,847.03,13:01,14:07,56,1.04,0.94,0.01,3.42,1160,61.54,397,21.06,232,12.31,96,5.09
13,LMI_20230427_0_9774.48_final_mergedlength.json,13,847.03,912.19,14:07,15:12,96,1.6,0.96,0.12,3.6,764,36.64,649,31.13,488,23.41,184,8.82
14,LMI_20230427_0_9774.48_final_mergedlength.json,14,912.19,977.34,15:12,16:17,99,1.62,0.99,0.07,3.78,796,38.18,514,24.65,592,28.39,183,8.78
15,LMI_20230427_0_9774.48_final_mergedlength.json,15,977.34,1042.5,16:17,17:22,137,2.27,0.77,0.19,3.67,96,4.6,616,29.54,968,46.43,405,19.42
16,LMI_20230427_0_9774.48_final_mergedlength.json,16,1042.5,1107.66,17:22,18:27,88,1.53,0.87,0.01,3.49,580,28.64,844,41.68,485,23.95,116,5.73
17,LMI_20230427_0_9774.48_final_mergedlength.json,17,1107.66,1172.81,18:27,19:32,121,2.02,0.8,0.58,3.56,324,15.54,700,33.57,833,39.95,228,10.94
18,LMI_20230427_0_9774.48_final_mergedlength.json,18,1172.81,1237.97,19:32,20:37,119,1.99,0.88,0.01,3.64,308,15.09,679,33.27,790,38.71,264,12.93
19,LMI_20230427_0_9774.48_final_mergedlength.json,19,1237.97,1303.12,20:37,21:43,137,2.31,0.88,0.01,3.58,192,9.21,521,24.99,764,36.64,608,29.16
20,LMI_20230427_0_9774.48_final_mergedlength.json,20,1303.12,1368.28,21:43,22:48,125,2.11,1.04,0.01,3.68,396,19.59,313,15.49,952,47.11,360,17.81
21,LMI_20230427_0_9774.48_final_mergedlength.json,21,1368.28,1433.44,22:48,23:53,116,2.03,0.99,0.01,3.76,430,21.79,347,17.59,948,48.05,248,12.57
22,LMI_20230427_0_9774.48_final_mergedlength.json,22,1433.44,1498.59,23:53,24:58,120,1.94,0.79,0.18,3.94,270,12.95,783,37.55,892,42.78,140,6.71
