,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20230504_0_9333.569985_final_mergedlength.json,0,0.0,62.22,00:00,01:02,4,0.56,0.29,0.01,0.97,268,100.0,0,0.0,0,0.0,0,0.0
1,LMI_20230504_0_9333.569985_final_mergedlength.json,1,62.22,124.44,01:02,02:04,12,0.72,0.45,0.01,1.5,430,71.43,172,28.57,0,0.0,0,0.0
2,LMI_20230504_0_9333.569985_final_mergedlength.json,2,124.44,186.66,02:04,03:06,59,1.04,0.74,0.01,2.5,1182,59.97,425,21.56,364,18.47,0,0.0
3,LMI_20230504_0_9333.569985_final_mergedlength.json,3,186.66,248.88,03:06,04:08,50,0.93,0.63,0.01,3.14,1188,61.91,623,32.46,80,4.17,28,1.46
4,LMI_20230504_0_9333.569985_final_mergedlength.json,4,248.88,311.09,04:08,05:11,43,0.97,0.67,0.01,2.51,936,59.85,512,32.74,116,7.42,0,0.0
5,LMI_20230504_0_9333.569985_final_mergedlength.json,5,311.09,373.31,05:11,06:13,42,0.81,0.62,0.01,3.15,1496,78.65,300,15.77,74,3.89,32,1.68
6,LMI_20230504_0_9333.569985_final_mergedlength.json,6,373.31,435.53,06:13,07:15,35,0.83,0.5,0.01,2.26,1068,71.44,365,24.41,62,4.15,0,0.0
7,LMI_20230504_0_9333.569985_final_mergedlength.json,7,435.53,497.75,07:15,08:17,31,0.76,0.65,0.01,2.13,1056,71.98,319,21.75,92,6.27,0,0.0
8,LMI_20230504_0_9333.569985_final_mergedlength.json,8,497.75,559.97,08:17,09:19,13,0.81,0.44,0.01,1.65,351,63.24,204,36.76,0,0.0,0,0.0
9,LMI_20230504_0_9333.569985_final_mergedlength.json,9,559.97,622.19,09:19,10:22,13,0.47,0.45,0.01,1.69,801,84.05,152,15.95,0,0.0,0,0.0
10,LMI_20230504_0_9333.569985_final_mergedlength.json,10,622.19,684.41,10:22,11:24,26,0.95,0.57,0.01,2.19,572,59.09,328,33.88,68,7.02,0,0.0
11,LMI_20230504_0_9333.569985_final_mergedlength.json,11,684.41,746.62,11:24,12:26,89,1.64,0.79,0.01,3.24,412,21.46,872,45.42,564,29.38,72,3.75
12,LMI_20230504_0_9333.569985_final_mergedlength.json,12,746.62,808.84,12:26,13:28,104,1.83,0.97,0.31,3.76,532,26.72,652,32.75,459,23.05,348,17.48
13,LMI_20230504_0_9333.569985_final_mergedlength.json,13,808.84,871.06,13:28,14:31,122,2.3,0.99,0.01,4.29,252,14.04,272,15.15,871,48.52,400,22.28
14,LMI_20230504_0_9333.569985_final_mergedlength.json,14,871.06,933.28,14:31,15:33,135,2.41,0.79,0.01,4.17,120,6.13,384,19.6,1187,60.59,268,13.68
15,LMI_20230504_0_9333.569985_final_mergedlength.json,15,933.28,995.5,15:33,16:35,117,2.05,0.53,0.92,3.58,40,2.01,732,36.77,1131,56.81,88,4.42
16,LMI_20230504_0_9333.569985_final_mergedlength.json,16,995.5,1057.72,16:35,17:37,116,2.0,0.71,0.57,3.26,172,8.64,816,40.98,843,42.34,160,8.04
17,LMI_20230504_0_9333.569985_final_mergedlength.json,17,1057.72,1119.94,17:37,18:39,118,2.09,0.96,0.01,3.97,260,13.14,636,32.14,679,34.31,404,20.41
18,LMI_20230504_0_9333.569985_final_mergedlength.json,18,1119.94,1182.16,18:39,19:42,125,2.16,0.88,0.21,3.83,176,8.84,580,29.13,882,44.3,353,17.73
19,LMI_20230504_0_9333.569985_final_mergedlength.json,19,1182.16,1244.38,19:42,20:44,121,2.1,1.01,0.03,3.88,352,17.68,632,31.74,460,23.1,547,27.47
20,LMI_20230504_0_9333.569985_final_mergedlength.json,20,1244.38,1306.59,20:44,21:46,109,1.88,0.82,0.4,3.76,328,16.47,848,42.59,628,31.54,187,9.39
21,LMI_20230504_0_9333.569985_final_mergedlength.json,21,1306.59,1368.81,21:46,22:48,72,1.41,1.02,0.01,3.6,720,41.79,446,25.89,476,27.63,81,4.7
22,LMI_20230504_0_9333.569985_final_mergedlength.json,22,1368.81,1431.03,22:48,23:51,58,1.13,0.69,0.01,2.53,792,43.76,794,43.87,224,12.38,0,0.0
23,LMI_20230504_0_9333.569985_final_mergedlength.json,23,1431.03,1493.25,23:51,24:53,12,1.24,0.98,0.01,2.76,152,50.67,64,21.33,84,28.0,0,0.0
24,LMI_20230504_0_9333.569985_final_mergedlength.json,24,1493.25,1555.47,24:53,25:55,87,1.54,1.08,0.01,3.51,903,46.0,252,12.84,656,33.42,152,7.74
25,LMI_20230504_0_9333.569985_final_mergedlength.json,25,1555.47,1617.69,25:55,26:57,73,1.3,0.87,0.01,3.74,873,44.02,760,38.33,246,12.41,104,5.24
26,LMI_20230504_0_9333.569985_final_mergedlength.json,26,1617.69,1679.91,26:57,27:59,86,1.47,0.81,0.12,3.06,621,31.19,704,35.36,646,32.45,20,1.0
27,LMI_20230504_0_9333.569985_final_mergedlength.json,27,1679.91,1742.12,27:59,29:02,52,1.36,1.02,0.01,3.86,555,42.59,420,32.23,212,16.27,116,8.9
28,LMI_20230504_0_9333.569985_final_mergedlength.json,28,1742.12,1804.34,29:02,30:04,115,2.02,0.83,0.33,4.21,160,8.04,848,42.59,776,38.98,207,10.4
29,LMI_20230504_0_9333.569985_final_mergedlength.json,29,1804.34,1866.56,30:04,31:06,156,2.73,0.77,0.93,4.57,28,1.41,344,17.28,846,42.49,773,38.82
30,LMI_20230504_0_9333.569985_final_mergedlength.json,30,1866.56,1928.78,31:06,32:08,119,2.15,0.64,0.01,3.64,124,6.53,484,25.49,1155,60.82,136,7.16
31,LMI_20230504_0_9333.569985_final_mergedlength.json,31,1928.78,1991.0,32:08,33:11,107,1.91,0.82,0.01,3.54,316,16.33,788,40.72,643,33.23,188,9.72
32,LMI_20230504_0_9333.569985_final_mergedlength.json,32,1991.0,2053.22,33:11,34:13,157,2.7,0.64,1.11,3.74,0,0.0,340,17.08,972,48.82,679,34.1
33,LMI_20230504_0_9333.569985_final_mergedlength.json,33,2053.22,2115.44,34:13,35:15,106,1.89,0.86,0.01,3.56,364,18.75,668,34.42,704,36.27,205,10.56
34,LMI_20230504_0_9333.569985_final_mergedlength.json,34,2115.44,2177.66,35:15,36:17,17,0.85,0.67,0.01,2.35,412,58.86,228,32.57,60,8.57,0,0.0
35,LMI_20230504_0_9333.569985_final_mergedlength.json,35,2177.66,2239.88,36:17,37:19,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,LMI_20230504_0_9333.569985_final_mergedlength.json,36,2239.88,2302.09,37:19,38:22,62,1.62,0.71,0.03,3.08,240,17.66,748,55.04,339,24.94,32,2.35
37,LMI_20230504_0_9333.569985_final_mergedlength.json,37,2302.09,2364.31,38:22,39:24,104,1.8,0.94,0.12,3.65,498,25.01,668,33.55,573,28.78,252,12.66
