,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20220826_1_0.0_8753.398625_mergedlength.json,0,0.0,58.34,00:00,00:58,4,0.47,0.3,0.01,0.88,320,100.0,0,0.0,0,0.0,0,0.0
1,LMI_20220826_1_0.0_8753.398625_mergedlength.json,1,58.34,116.69,00:58,01:56,18,1.44,0.87,0.01,2.42,156,35.14,84,18.92,204,45.95,0,0.0
2,LMI_20220826_1_0.0_8753.398625_mergedlength.json,2,116.69,175.03,01:56,02:55,26,0.73,0.25,0.01,1.29,1145,89.38,136,10.62,0,0.0,0,0.0
3,LMI_20220826_1_0.0_8753.398625_mergedlength.json,3,175.03,233.38,02:55,03:53,60,1.23,0.71,0.01,3.03,667,37.58,868,48.9,212,11.94,28,1.58
4,LMI_20220826_1_0.0_8753.398625_mergedlength.json,4,233.38,291.72,03:53,04:51,57,1.12,0.32,0.43,1.76,768,41.14,1099,58.86,0,0.0,0,0.0
5,LMI_20220826_1_0.0_8753.398625_mergedlength.json,5,291.72,350.06,04:51,05:50,47,0.96,0.53,0.07,2.22,1110,59.45,689,36.9,68,3.64,0,0.0
6,LMI_20220826_1_0.0_8753.398625_mergedlength.json,6,350.06,408.41,05:50,06:48,59,1.19,0.48,0.11,2.5,574,30.74,1193,63.9,100,5.36,0,0.0
7,LMI_20220826_1_0.0_8753.398625_mergedlength.json,7,408.41,466.75,06:48,07:46,80,1.56,0.36,0.85,2.76,64,3.43,1591,85.22,212,11.36,0,0.0
8,LMI_20220826_1_0.0_8753.398625_mergedlength.json,8,466.75,525.09,07:46,08:45,44,1.04,0.63,0.01,2.44,836,56.22,467,31.41,184,12.37,0,0.0
9,LMI_20220826_1_0.0_8753.398625_mergedlength.json,9,525.09,583.44,08:45,09:43,43,0.86,0.8,0.01,3.13,1338,75.04,153,8.58,244,13.68,48,2.69
10,LMI_20220826_1_0.0_8753.398625_mergedlength.json,10,583.44,641.78,09:43,10:41,40,0.89,0.77,0.01,3.08,1023,65.12,360,22.92,168,10.69,20,1.27
11,LMI_20220826_1_0.0_8753.398625_mergedlength.json,11,641.78,700.12,10:41,11:40,27,0.68,0.57,0.01,2.28,1039,73.64,308,21.83,64,4.54,0,0.0
12,LMI_20220826_1_0.0_8753.398625_mergedlength.json,12,700.12,758.47,11:40,12:38,43,1.51,1.33,0.01,4.96,392,38.93,380,37.74,79,7.85,156,15.49
13,LMI_20220826_1_0.0_8753.398625_mergedlength.json,13,758.47,816.81,12:38,13:36,146,2.69,1.34,0.01,4.64,252,13.79,268,14.67,501,27.42,806,44.12
14,LMI_20220826_1_0.0_8753.398625_mergedlength.json,14,816.81,875.16,13:36,14:35,124,2.34,0.96,0.32,3.92,228,12.21,448,24.0,580,31.07,611,32.73
15,LMI_20220826_1_0.0_8753.398625_mergedlength.json,15,875.16,933.5,14:35,15:33,183,3.34,0.65,2.01,4.76,0,0.0,0,0.0,700,37.49,1167,62.51
16,LMI_20220826_1_0.0_8753.398625_mergedlength.json,16,933.5,991.84,15:33,16:31,130,2.41,0.67,0.99,4.12,8,0.43,528,28.28,939,50.29,392,21.0
17,LMI_20220826_1_0.0_8753.398625_mergedlength.json,17,991.84,1050.19,16:31,17:30,132,2.49,0.74,0.93,3.94,32,1.71,560,29.99,659,35.3,616,32.99
18,LMI_20220826_1_0.0_8753.398625_mergedlength.json,18,1050.19,1108.53,17:30,18:28,186,3.39,0.74,1.86,5.15,0,0.0,40,2.14,599,32.08,1188,63.63
19,LMI_20220826_1_0.0_8753.398625_mergedlength.json,19,1108.53,1166.88,18:28,19:26,138,2.58,0.36,1.74,3.74,0,0.0,128,6.86,1511,80.93,228,12.21
20,LMI_20220826_1_0.0_8753.398625_mergedlength.json,20,1166.88,1225.22,19:26,20:25,140,2.61,0.87,0.42,4.22,92,4.93,340,18.21,843,45.15,592,31.71
21,LMI_20220826_1_0.0_8753.398625_mergedlength.json,21,1225.22,1283.56,20:25,21:23,170,3.05,1.29,0.4,5.29,124,6.64,364,19.5,293,15.69,990,53.03
22,LMI_20220826_1_0.0_8753.398625_mergedlength.json,22,1283.56,1341.91,21:23,22:21,174,3.22,0.92,1.39,5.18,0,0.0,188,10.07,649,34.76,1002,53.67
23,LMI_20220826_1_0.0_8753.398625_mergedlength.json,23,1341.91,1400.25,22:21,23:20,97,2.32,0.9,0.01,4.06,92,6.45,424,29.71,611,42.82,300,21.02
24,LMI_20220826_1_0.0_8753.398625_mergedlength.json,24,1400.25,1458.59,23:20,24:18,61,2.34,1.21,0.01,4.64,92,10.19,348,38.54,120,13.29,343,37.98
25,LMI_20220826_1_0.0_8753.398625_mergedlength.json,25,1458.59,1516.94,24:18,25:16,82,1.53,0.73,0.31,3.42,478,25.6,948,50.78,360,19.28,81,4.34
26,LMI_20220826_1_0.0_8753.398625_mergedlength.json,26,1516.94,1575.28,25:16,26:15,108,2.03,0.99,0.01,3.54,367,19.91,468,25.39,632,34.29,376,20.4
27,LMI_20220826_1_0.0_8753.398625_mergedlength.json,27,1575.28,1633.62,26:15,27:13,130,2.38,1.4,0.07,5.44,327,17.51,604,32.35,340,18.21,500,26.78
28,LMI_20220826_1_0.0_8753.398625_mergedlength.json,28,1633.62,1691.97,27:13,28:11,65,1.78,1.32,0.01,4.99,412,32.72,319,25.34,328,26.05,200,15.89
29,LMI_20220826_1_0.0_8753.398625_mergedlength.json,29,1691.97,1750.31,28:11,29:10,116,2.21,1.28,0.01,4.92,356,19.49,501,27.42,444,24.3,526,28.79
30,LMI_20220826_1_0.0_8753.398625_mergedlength.json,30,1750.31,1808.66,29:10,30:08,150,2.77,0.72,1.46,4.44,0,0.0,352,18.85,828,44.35,687,36.8
31,LMI_20220826_1_0.0_8753.398625_mergedlength.json,31,1808.66,1867.0,30:08,31:07,165,3.03,0.71,1.36,4.33,0,0.0,180,9.64,648,34.71,1039,55.65
32,LMI_20220826_1_0.0_8753.398625_mergedlength.json,32,1867.0,1925.34,31:07,32:05,159,2.92,0.77,1.5,4.26,0,0.0,348,18.64,460,24.64,1059,56.72
33,LMI_20220826_1_0.0_8753.398625_mergedlength.json,33,1925.34,1983.69,32:05,33:03,153,2.8,0.82,1.21,4.44,0,0.0,308,16.5,808,43.28,751,40.22
34,LMI_20220826_1_0.0_8753.398625_mergedlength.json,34,1983.69,2042.03,33:03,34:02,99,2.29,0.81,0.01,3.61,140,9.44,228,15.37,849,57.25,266,17.94
35,LMI_20220826_1_0.0_8753.398625_mergedlength.json,35,2042.03,2100.38,34:02,35:00,11,0.78,0.66,0.01,2.68,380,73.22,104,20.04,35,6.74,0,0.0
36,LMI_20220826_1_0.0_8753.398625_mergedlength.json,36,2100.38,2158.72,35:00,35:58,57,1.87,0.97,0.01,3.74,232,22.16,323,30.85,372,35.53,120,11.46
37,LMI_20220826_1_0.0_8753.398625_mergedlength.json,37,2158.72,2217.06,35:58,36:57,141,2.73,0.97,0.01,4.13,152,8.43,93,5.16,802,44.48,756,41.93
38,LMI_20220826_1_0.0_8753.398625_mergedlength.json,38,2217.06,2275.41,36:57,37:55,50,1.14,1.09,0.01,4.51,888,60.7,381,26.04,46,3.14,148,10.12
39,LMI_20220826_1_0.0_8753.398625_mergedlength.json,39,2275.41,2333.75,37:55,38:53,112,2.12,0.52,1.08,3.11,0,0.0,787,42.15,1032,55.28,48,2.57
40,LMI_20220826_1_0.0_8753.398625_mergedlength.json,40,2333.75,2392.09,38:53,39:52,147,2.75,0.61,1.18,4.14,0,0.0,212,11.36,964,51.63,691,37.01
41,LMI_20220826_1_0.0_8753.398625_mergedlength.json,41,2392.09,2450.44,39:52,40:50,141,2.59,0.71,0.82,3.69,64,3.43,324,17.35,788,42.21,691,37.01
42,LMI_20220826_1_0.0_8753.398625_mergedlength.json,42,2450.44,2508.78,40:50,41:48,49,1.78,0.8,0.01,3.01,188,19.05,272,27.56,525,53.19,2,0.2
43,LMI_20220826_1_0.0_8753.398625_mergedlength.json,43,2508.78,2567.12,41:48,42:47,100,1.97,0.9,0.01,3.19,336,18.93,344,19.38,987,55.61,108,6.08
44,LMI_20220826_1_0.0_8753.398625_mergedlength.json,44,2567.12,2625.47,42:47,43:45,56,1.25,0.86,0.01,2.65,820,50.52,311,19.16,492,30.31,0,0.0
45,LMI_20220826_1_0.0_8753.398625_mergedlength.json,45,2625.47,2683.81,43:45,44:43,107,2.02,0.81,0.04,3.88,242,12.96,561,30.05,900,48.21,164,8.78
46,LMI_20220826_1_0.0_8753.398625_mergedlength.json,46,2683.81,2742.16,44:43,45:42,91,1.71,1.02,0.03,3.47,578,30.96,412,22.07,777,41.62,100,5.36
47,LMI_20220826_1_0.0_8753.398625_mergedlength.json,47,2742.16,2800.5,45:42,46:40,102,1.96,0.54,0.54,3.26,72,3.86,872,46.71,867,46.44,56,3.0
48,LMI_20220826_1_0.0_8753.398625_mergedlength.json,48,2800.5,2858.84,46:40,47:38,94,2.11,0.9,0.01,3.54,156,10.14,495,32.16,660,42.88,228,14.81
49,LMI_20220826_1_0.0_8753.398625_mergedlength.json,49,2858.84,2917.19,47:38,48:37,131,2.42,0.63,0.89,3.64,52,2.79,393,21.05,1110,59.45,312,16.71
50,LMI_20220826_1_0.0_8753.398625_mergedlength.json,50,2917.19,2975.53,48:37,49:35,139,2.58,0.8,1.28,4.21,0,0.0,548,29.35,679,36.37,640,34.28
51,LMI_20220826_1_0.0_8753.398625_mergedlength.json,51,2975.53,3033.88,49:35,50:33,141,2.66,0.57,1.56,3.78,0,0.0,284,15.21,983,52.65,600,32.14
52,LMI_20220826_1_0.0_8753.398625_mergedlength.json,52,3033.88,3092.22,50:33,51:32,132,2.45,0.6,0.92,3.76,40,2.14,372,19.93,1115,59.72,340,18.21
