,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20230510_0_9505.769999999999_final_mergedlength.json,0,0.0,63.34,00:00,01:03,1,0.11,0.06,0.0,0.18,2027,100.0,0,0.0,0,0.0,0,0.0
1,LMI_20230510_0_9505.769999999999_final_mergedlength.json,1,63.34,126.69,01:03,02:06,14,0.19,0.04,0.15,0.32,2027,100.0,0,0.0,0,0.0,0,0.0
2,LMI_20230510_0_9505.769999999999_final_mergedlength.json,2,126.69,190.03,02:06,03:10,55,0.74,0.22,0.32,0.97,2027,100.0,0,0.0,0,0.0,0,0.0
3,LMI_20230510_0_9505.769999999999_final_mergedlength.json,3,190.03,253.38,03:10,04:13,58,0.98,0.01,0.94,0.99,2027,100.0,0,0.0,0,0.0,0,0.0
4,LMI_20230510_0_9505.769999999999_final_mergedlength.json,4,253.38,316.72,04:13,05:16,51,0.8,0.07,0.73,0.94,2027,100.0,0,0.0,0,0.0,0,0.0
5,LMI_20230510_0_9505.769999999999_final_mergedlength.json,5,316.72,380.06,05:16,06:20,38,0.59,0.09,0.46,0.74,2027,100.0,0,0.0,0,0.0,0,0.0
6,LMI_20230510_0_9505.769999999999_final_mergedlength.json,6,380.06,443.41,06:20,07:23,32,0.51,0.03,0.46,0.54,2027,100.0,0,0.0,0,0.0,0,0.0
7,LMI_20230510_0_9505.769999999999_final_mergedlength.json,7,443.41,506.75,07:23,08:26,26,0.43,0.06,0.35,0.52,2027,100.0,0,0.0,0,0.0,0,0.0
8,LMI_20230510_0_9505.769999999999_final_mergedlength.json,8,506.75,570.09,08:26,09:30,26,0.38,0.03,0.35,0.44,2027,100.0,0,0.0,0,0.0,0,0.0
9,LMI_20230510_0_9505.769999999999_final_mergedlength.json,9,570.09,633.44,09:30,10:33,10,0.3,0.03,0.27,0.37,2027,100.0,0,0.0,0,0.0,0,0.0
10,LMI_20230510_0_9505.769999999999_final_mergedlength.json,10,633.44,696.78,10:33,11:36,22,0.46,0.11,0.35,0.76,2027,100.0,0,0.0,0,0.0,0,0.0
